"platform","rank","name","followers","engagement_rate","country","topic_of_influence","potential_reach"
threads,70,T A N . F R A N C E,262200,"0.5",United States,Fashion & Accessories,78700
threads,71,Brooklyn Nets,261700,"0.12",United States,Sports Entertainment & Music,78500
threads,72,H A L E Y K A L I L,260900,"1.59",United States,Humor,78300
threads,73,Nice Kicks,260800,"0.31",United States,Fashion & Accessories,78200
threads,74,#Icebox Diamonds & Watches,255600,"0.3",United States,Fashion & Accessories Product Showcase,76700
threads,75,Lewis Howes,255200,"1.22",United States,Education Upskilling Entertainment & Music,76600
threads,76,Jailyne Ojeda Ochoa,252800,"0.41",United States,Business Finance,75800
threads,77,Apartment Therapy,250400,"0.11",United States,Home & Garden,75100
threads,78,The Onion,249900,"0.51",United States,Entertainment & Music,75000
threads,79,Design Milk - A Sandow Company,246100,"0.11",United States,Arts & Crafts,73800
threads,80,Stephen Amell,242500,"0.31",United States,Entertainment & Music,72700
threads,81,The Verge,238200,"0.15",United States,Entertainment & Music,71500
threads,82,"Sandra Lee, MD, FAAD, FAACS",229300,"0.13",United States,Beauty & Self Care Health,68800
threads,83,Miss Universe,225000,"0.51",United States,Romance & Wedding Entertainment & Music,67500
threads,84,Zion baby,224600,"0.14",United States,Entertainment & Music Product Showcase,67400
threads,85,Milwaukee Bucks,222000,"0.21",United States,Sports,66600
threads,86,kashdoll,221000,"0.53",United States,Entertainment & Music Fashion & Accessories,66300
threads,87,TUCKER | The Golden Retriever,220900,"2.14",United States,Animals Pets,66300
threads,88,Paige Spiranac.renee,219700,"0.81",United States,Fitness & Health Sports,65900
threads,89,Chiquinquira Delgado,218400,"0.08",United States,Fashion & Accessories Entertainment & Music,65500
threads,90,Michael Rainey Jr. Official,216700,"0.76",United States,Entertainment & Music,65000
threads,91,NELK,216300,"0.81",United States,Entertainment & Music,64900
threads,92,Trevor Wallace,215700,"0.73",United States,Entertainment & Music Funny,64700
threads,93,Hot Freestyle,212500,"0.77",United States,Entertainment & Music,63700
threads,94,Who What Wear,210100,"0.31",United States,Fashion & Accessories,63000
threads,95,Lan Cruz,207000,"0.58",United States,Entertainment & Music,62100
threads,96,Matthew Sturniolo.sturniolo,206800,"9.65",United States,Entertainment & Music,62100
threads,97,Rudy Mancuso,201300,"0.19",United States,Entertainment & Music,60400
threads,98,Pollito Tropical,200200,"0.52",United States,Entertainment & Music Funny,60100
threads,99,Georgina Mazzeo,200200,"0.44",United States,Fashion & Accessories Product Showcase,60000
threads,100,Nicolas Sturniolo,199700,"7.83",United States,Entertainment & Music Animation & Cosplay,59900
